GEO_ID,B03002_E001,B03002_M001,B03002_E002,B03002_M002,B03002_E003,B03002_M003,B03002_E004,B03002_M004,B03002_E005,B03002_M005,B03002_E006,B03002_M006,B03002_E007,B03002_M007,B03002_E008,B03002_M008,B03002_E009,B03002_M009,B03002_E010,B03002_M010,B03002_E011,B03002_M011,B03002_E012,B03002_M012,B03002_E013,B03002_M013,B03002_E014,B03002_M014,B03002_E015,B03002_M015,B03002_E016,B03002_M016,B03002_E017,B03002_M017,B03002_E018,B03002_M018,B03002_E019,B03002_M019,B03002_E020,B03002_M020,B03002_E021,B03002_M021
1400000US06037191620,2838,538,1062,538,480,236,56,54,0,14,521,485,0,14,0,14,5,8,0,14,5,8,1776,436,100,80,0,14,36,45,14,23,0,14,1354,408,272,186,263,190,9,14
1400000US06037191710,2519,531,495,157,328,139,42,50,0,14,55,58,0,14,10,17,60,84,0,14,60,84,2024,581,93,112,0,14,14,21,143,148,0,14,1430,561,344,253,334,259,10,17
1400000US06037191720,3462,495,1044,265,400,217,284,158,0,14,338,203,0,14,22,34,0,14,0,14,0,14,2418,575,389,216,0,14,39,42,0,14,0,14,1740,587,250,229,203,200,47,73
1400000US06037191810,2795,505,1177,228,696,184,272,181,6,11,108,60,11,18,37,47,47,47,20,33,27,24,1618,432,58,60,41,53,80,129,0,14,0,14,1268,377,171,95,138,95,33,41
1400000US06037191820,3776,447,2725,460,1509,405,433,259,37,57,542,258,0,14,13,21,191,124,25,37,166,113,1051,247,208,161,119,107,0,14,12,19,0,14,363,227,349,164,338,161,11,18
1400000US06037191901,4328,750,3474,687,2341,615,387,223,0,14,372,158,16,26,16,26,342,174,42,53,300,167,854,274,102,95,0,14,0,14,0,14,19,30,355,196,378,201,230,178,148,149
1400000US06037191902,2845,405,2484,409,1888,418,49,44,0,14,341,174,0,14,35,52,171,90,60,54,111,78,361,202,12,19,0,14,27,39,0,14,0,14,181,169,141,96,85,56,56,80
1400000US06037192001,2364,276,2108,294,1622,301,107,79,29,44,241,150,0,14,14,17,95,65,0,14,95,65,256,116,87,54,0,14,6,14,0,14,0,14,60,67,103,70,89,66,14,21
1400000US06037192002,2680,308,2460,322,2060,358,40,35,0,14,188,118,15,22,0,14,157,104,22,39,135,96,220,114,55,50,0,14,0,14,0,14,0,14,48,54,117,76,112,73,5,11
1400000US06037192300,2606,437,2008,351,1461,288,68,89,0,14,386,191,0,14,10,16,83,69,6,9,77,68,598,397,80,81,0,14,11,17,0,14,0,14,146,88,361,377,361,377,0,14
1400000US06037192410,4334,748,3693,765,2148,654,198,132,0,14,919,300,0,14,45,58,383,268,139,217,244,156,641,222,20,22,0,14,9,15,0,14,0,14,276,211,336,251,336,251,0,14
1400000US06037192420,3114,350,2285,372,729,240,83,66,145,134,1166,327,0,14,0,14,162,114,10,16,152,113,829,316,78,83,0,14,0,14,0,14,0,14,461,261,290,181,290,181,0,14
1400000US06037192510,4005,693,1654,520,202,98,0,14,0,14,1316,506,4,10,0,14,132,103,28,31,104,110,2351,650,31,49,0,14,166,218,0,14,0,14,1230,467,924,533,908,533,16,25
1400000US06037192520,4836,538,1860,541,492,273,322,298,0,14,984,380,0,14,11,17,51,52,27,36,24,38,2976,502,317,214,21,33,0,14,0,14,0,14,2299,506,339,164,324,161,15,24
1400000US06037192610,4070,550,1798,374,779,289,171,138,0,14,667,256,0,14,38,33,143,144,0,14,143,144,2272,473,341,319,0,14,129,171,0,14,0,14,1435,433,367,211,244,153,123,121
1400000US06037192620,3661,593,1376,337,341,198,182,180,0,14,786,272,0,14,11,18,56,58,0,14,56,58,2285,668,148,148,0,14,241,212,0,14,0,14,1023,488,873,503,706,392,167,268
1400000US06037192700,3018,554,1293,305,730,273,130,75,0,14,390,179,0,14,0,14,43,53,0,14,43,53,1725,528,510,413,0,14,103,81,14,24,0,14,782,330,316,128,309,127,7,12
1400000US06037194101,3153,498,2756,486,2189,463,115,88,0,14,312,229,39,58,22,27,79,71,27,32,52,61,397,183,117,109,11,19,25,39,0,14,0,14,54,44,190,139,182,141,8,13
1400000US06037194102,2733,314,2388,292,1789,317,98,123,0,14,440,270,0,14,0,14,61,61,26,42,35,45,345,242,68,72,0,14,0,14,0,14,0,14,97,124,180,170,180,170,0,14
1400000US06037194200,3389,565,3151,568,2588,495,0,14,0,14,370,264,0,14,28,44,165,106,52,66,113,87,238,109,47,51,0,14,9,15,0,14,0,14,48,49,134,92,112,88,22,34
1400000US06037194300,2918,616,2699,628,2334,601,50,52,0,14,0,14,15,24,65,107,235,124,50,52,185,109,219,124,36,53,0,14,0,14,0,14,0,14,11,17,172,113,112,89,60,75
1400000US06037194401,2579,331,2288,335,1631,320,113,79,0,14,365,181,0,14,31,49,148,61,11,17,137,58,291,136,70,58,0,14,0,14,0,14,0,14,125,91,96,87,81,77,15,27
1400000US06037194402,3397,458,2863,379,2171,404,74,72,0,14,542,207,0,14,0,14,76,60,27,33,49,49,534,240,91,73,0,14,0,14,0,14,0,14,199,122,244,136,66,31,178,135
1400000US06037194500,2120,232,1980,223,1527,200,83,72,0,14,220,147,0,14,50,76,100,80,0,14,100,80,140,78,21,29,0,14,5,7,0,14,0,14,41,47,73,66,51,60,22,26
1400000US06037195100,4871,565,4260,514,3076,429,126,88,0,14,598,155,0,14,0,14,460,193,145,131,315,153,611,204,206,165,0,14,0,14,19,30,0,14,88,86,298,189,250,188,48,52
1400000US06037195201,2980,333,2553,317,1921,296,36,39,0,14,287,175,0,14,9,14,300,136,14,21,286,136,427,176,29,34,0,14,0,14,0,14,0,14,270,162,128,72,104,62,24,26
1400000US06037195202,3280,409,2628,290,2278,249,29,35,0,14,166,82,8,14,11,18,136,61,5,12,131,61,652,266,66,47,0,14,9,14,0,14,0,14,80,81,497,214,371,213,126,131
1400000US06037195300,2990,409,2244,293,1612,274,69,50,0,14,352,110,0,14,98,87,113,59,12,16,101,56,746,280,214,138,0,14,12,17,0,14,0,14,321,234,199,116,149,79,50,62
1400000US06037195400,4306,574,3643,531,2816,576,114,102,0,14,311,133,121,160,0,14,281,183,155,119,126,114,663,260,19,31,0,14,0,14,0,14,0,14,310,286,334,153,305,148,29,27
1400000US06037195500,5111,744,3843,613,2473,424,24,45,0,19,890,403,0,19,48,70,408,306,83,74,325,302,1268,487,195,95,0,19,0,19,0,19,0,19,456,453,617,260,540,259,77,65
1400000US06037195600,2868,508,1626,488,1185,462,35,57,0,14,236,96,0,14,113,109,57,52,10,16,47,46,1242,572,102,81,0,14,0,14,0,14,0,14,880,555,260,192,249,197,11,24
1400000US06037195710,3971,440,1933,285,951,215,277,200,5,9,580,198,0,14,0,14,120,68,10,16,110,68,2038,460,160,130,0,14,42,64,0,14,0,14,1168,470,668,359,460,191,208,288
1400000US06037195720,1745,219,1068,196,747,166,63,47,0,14,194,73,0,14,0,14,64,37,0,14,64,37,677,128,51,38,0,14,25,28,0,14,0,14,513,121,88,46,88,46,0,14
1400000US06037195802,2864,380,1509,298,565,201,22,27,0,14,759,258,0,14,68,99,95,59,22,31,73,48,1355,324,200,133,0,14,0,14,31,44,0,14,944,274,180,130,117,85,63,89
1400000US06037195803,2182,232,1521,205,1121,209,169,155,0,14,181,83,0,14,0,14,50,48,2,8,48,45,661,143,20,23,8,14,0,14,0,14,0,14,366,137,267,145,250,146,17,30
1400000US06037195804,2475,383,1165,232,661,176,15,24,28,30,266,142,0,14,82,79,113,89,58,62,55,59,1310,363,227,185,16,24,43,62,0,14,0,14,735,351,289,131,243,130,46,44
1400000US06037195901,2446,377,1737,267,991,270,47,59,0,14,450,231,0,14,155,110,94,55,27,31,67,53,709,176,235,151,0,14,14,21,0,14,0,14,269,153,191,116,165,116,26,29
1400000US06037195902,1839,384,1658,390,1111,193,20,27,0,14,195,144,0,14,0,14,332,331,244,319,88,61,181,82,10,15,0,14,0,14,0,14,0,14,126,70,45,36,37,33,8,12
1400000US06037195903,2035,234,1195,168,733,136,58,45,0,14,295,120,0,14,0,14,109,62,0,14,109,62,840,171,21,20,7,10,84,74,0,14,0,14,492,175,236,100,155,82,81,74
1400000US06037197200,3505,480,2423,494,439,229,136,119,73,97,1502,441,11,17,0,14,262,180,0,14,262,180,1082,375,43,44,114,116,68,107,16,29,18,28,528,274,295,195,283,199,12,13
1400000US06037197300,3792,477,2591,412,1750,391,32,38,0,14,382,178,0,14,0,14,427,205,35,34,392,206,1201,293,41,33,0,14,61,101,6,9,0,14,587,252,506,229,487,226,19,22
1400000US06037197410,4014,564,2686,552,1729,449,71,40,0,14,476,211,0,14,0,14,410,249,35,36,375,245,1328,297,334,210,0,14,0,14,0,14,0,14,364,183,630,295,429,240,201,154
1400000US06037197420,3445,414,1908,283,1194,229,225,136,0,14,351,166,0,14,0,14,138,63,32,30,106,59,1537,399,109,86,0,14,9,15,0,14,0,14,979,313,440,368,335,291,105,147
1400000US06037197500,3790,460,2176,411,1414,374,61,58,9,15,400,180,0,14,0,14,292,142,73,70,219,126,1614,309,278,226,0,14,58,74,0,14,0,14,921,328,357,206,357,206,0,14
1400000US06037197600,2352,483,1044,181,768,143,13,23,0,14,232,127,0,14,6,11,25,31,8,14,17,27,1308,461,169,144,0,14,0,14,0,14,0,14,573,263,566,410,534,409,32,28
1400000US06037197700,4690,527,3188,539,725,212,364,366,0,14,1819,475,0,14,22,35,258,170,20,31,238,171,1502,356,95,96,18,30,16,26,0,14,0,14,882,218,491,237,491,237,0,14
1400000US06037199001,2390,427,1120,417,22,32,0,14,0,14,1060,402,0,14,0,14,38,52,0,14,38,52,1270,365,93,97,0,14,28,41,0,14,0,14,699,289,450,302,450,302,0,14
1400000US06037199002,2697,487,1137,346,606,339,10,18,0,14,459,198,0,14,8,13,54,53,9,15,45,52,1560,419,192,191,0,14,24,48,0,14,0,14,1093,279,251,276,240,276,11,19
1400000US06037199110,2335,580,394,109,132,60,0,14,0,14,204,120,0,14,4,6,54,31,13,19,41,23,1941,585,166,128,0,14,156,111,0,14,0,14,1106,553,513,293,465,287,48,38
1400000US06037199120,3454,425,1301,256,275,137,55,48,0,14,961,266,0,14,0,14,10,19,0,14,10,19,2153,437,40,36,21,25,19,30,0,14,0,14,1594,423,479,233,419,219,60,68
1400000US06037199201,3268,493,1403,345,141,89,48,54,0,14,1201,356,0,14,0,14,13,20,0,14,13,20,1865,495,273,183,0,14,13,22,25,40,0,14,1264,479,290,214,262,207,28,45
1400000US06037199202,2501,386,938,293,489,264,8,13,0,14,362,148,0,14,0,14,79,73,47,70,32,22,1563,319,53,62,0,14,18,21,0,14,0,14,1237,355,255,147,195,132,60,66
