GEO_ID,B19013_E001,B19013_M001
1400000US06037224320,38750,36155
1400000US06037224410,41010,15484
1400000US06037224420,26648,4829
1400000US06037224600,50795,10498
1400000US06037224701,32273,24122
1400000US06037224702,5213,1985
1400000US06037226001,34515,8525
1400000US06037226002,52412,21476
1400000US06037226410,47019,11068
1400000US06037226420,48418,13442
1400000US06037226701,61932,24677
1400000US06037226702,66556,14187
1400000US06037227010,50230,6888
1400000US06037227020,67331,9725
1400000US06037228100,65313,22457
1400000US06037228210,58558,19966
1400000US06037228220,60962,29853
1400000US06037228310,53408,6657
1400000US06037228320,57708,21907
1400000US06037228410,64286,18530
1400000US06037228420,80488,11336
1400000US06037228500,46450,14817
1400000US06037228600,59118,25673
1400000US06037228710,62286,27703
1400000US06037228720,65000,14843
1400000US06037228800,54975,35806
1400000US06037228900,38040,16919
1400000US06037229100,65461,24096
1400000US06037229200,48339,12174
1400000US06037229300,59107,7213
1400000US06037229410,65286,12282
1400000US06037229420,70135,11370
1400000US06037231100,59531,22459
1400000US06037231210,43797,6721
1400000US06037231220,37740,6908
1400000US06037231301,58818,5800
1400000US06037231302,61567,13862
1400000US06037231400,55153,38063
1400000US06037231500,91344,23749
1400000US06037231601,83270,7493
1400000US06037231602,84028,30827
1400000US06037231603,60455,26084
1400000US06037231710,56494,9636
1400000US06037231720,45417,24319
1400000US06037231800,48378,12848
1400000US06037231901,83795,47005
1400000US06037231902,45735,22499
1400000US06037232110,58425,12782
1400000US06037232120,53029,13366
1400000US06037232200,91208,21761
1400000US06037232300,75962,27694
1400000US06037232401,73034,11679
1400000US06037232402,74750,14553
1400000US06037232500,67917,18607
1400000US06037232601,76618,17272
1400000US06037232602,73628,31618
1400000US06037232701,96120,12263
1400000US06037232702,78026,18763
1400000US06037232800,52935,25181
1400000US06037234001,86935,12387
1400000US06037234002,73472,21162
1400000US06037234200,79438,12782
1400000US06037234301,38942,9050
1400000US06037234302,46604,15267
1400000US06037234501,78533,20129
1400000US06037234502,29464,8524
1400000US06037234600,76875,23103
1400000US06037234700,90302,15448
1400000US06037234800,72073,16177
1400000US06037234901,49602,6203
1400000US06037234902,24648,14763
1400000US06037235100,86450,8906
1400000US06037235201,64129,10820
1400000US06037235202,50972,18090
1400000US06037236001,113831,16129
1400000US06037236101,34981,7613
1400000US06037236102,52305,45761
1400000US06037236203,32886,9172
1400000US06037236204,42606,16686
1400000US06037236205,36503,10460
1400000US06037236206,50096,16136
1400000US06037236400,101607,16439
1400000US06037237101,57500,23056
1400000US06037237102,51602,12257
1400000US06037237201,67135,18911
1400000US06037237202,50714,32009
1400000US06037237300,86494,19368
1400000US06037237401,76354,24118
1400000US06037237402,85759,24703
1400000US06037237500,44856,6892
1400000US06037237600,43603,17541
1400000US06037237710,48750,11704
1400000US06037237720,45188,18312
1400000US06037237800,71283,30535
1400000US06037237900,77072,24945
1400000US06037238000,61822,31684
1400000US06037238100,67419,19713
1400000US06037238200,49601,18572
1400000US06037238310,50833,16528
1400000US06037238320,28722,11710
1400000US06037238400,68611,16752
1400000US06037239201,54141,16035
1400000US06037239202,59063,18332
1400000US06037239310,51510,17820
1400000US06037239320,53750,11863
1400000US06037239330,76382,13116
1400000US06037239501,59457,8730
1400000US06037239502,52917,12379
1400000US06037239601,58771,8622
1400000US06037239602,53906,19948
1400000US06037239701,40239,16063
1400000US06037239702,61250,22966
1400000US06037239801,65887,14774
1400000US06037239802,47534,14167
1400000US06037240010,39673,17198
1400000US06037240020,67222,33280
1400000US06037240200,56813,7670
1400000US06037240301,65392,13521
1400000US06037240302,44805,20303
1400000US06037240401,38720,3500
1400000US06037240402,68239,29675
1400000US06037240500,57750,33079
1400000US06037240600,64118,6974
1400000US06037240700,60672,11412
1400000US06037240800,56156,26346
1400000US06037240901,48359,11880
1400000US06037240902,43214,21542
1400000US06037241001,121477,33948
1400000US06037241002,58438,7601
1400000US06037241110,73382,13008
1400000US06037241120,42004,16305
1400000US06037241201,63073,5193
1400000US06037241202,52448,8802
1400000US06037241300,50727,8725
1400000US06037241400,65417,47059
1400000US06037242000,57813,7090
1400000US06037242100,29388,3819
1400000US06037242201,76528,31961
1400000US06037242202,45710,9557
1400000US06037242300,53992,7516
1400000US06037242600,21595,10748
1400000US06037242700,52807,7051
1400000US06037243001,72656,18011
1400000US06037243002,74208,12566
1400000US06037243100,33112,7055
1400000US06037261102,250001,-333333333
1400000US06037261103,182212,76214
1400000US06037261104,196071,97547
1400000US06037261200,169432,55945
1400000US06037262100,165795,103852
1400000US06037262200,200171,69380
1400000US06037262301,250001,-333333333
1400000US06037262302,178214,90322
1400000US06037262303,248889,44441
1400000US06037262400,250001,-333333333
1400000US06037262501,250001,-333333333
1400000US06037262601,222400,87750
1400000US06037262604,168750,96266
1400000US06037262704,161923,12689
1400000US06037262706,168164,49182
